position,title,snippet,highlighs,link,displayed_link,sitelinks
55,HukumOnline,"Dirut Kresna Life Jadi Tersangka, Nasabah Khawatir Dana Sulit Kembali. Nasabah mempertanyakan apa yang akan dilakukan OJK sebagai bentuk ...",['Kresna Life'],https://twitter.com/HukumOnline/status/1572518499762589696,https://twitter.com › HukumOnline › status,
56,Kompas.com,"Langkah Banding OJK Hadapi Putusan Pembatalan Pencabutan Izin Usaha Kresna Life. From money.kompas.com · 1:41 AM · Mar 5, 2024. ·. 861. Views. 1.",['Kresna Life'],https://twitter.com/kompascom/status/1764828462572052542,https://twitter.com › kompascom › status,
57,kakangnu - mangnu,"Michael Steven Menang Lawan OJK di PTUN, CIU Kresna Life Batal https ... Michael Steven Menang Lawan OJK di PTUN, CIU Kresna Life Batal. From investor.id. 1.","['Kresna Life', 'Kresna Life']",https://twitter.com/kakangnu,https://twitter.com › kakangnu,
58,usutpembunuhan1,"... Jiwasraya, Asabri, Wanaartha, Bakrie Life, Indo Life, Kresna Life, Bumi Asihjaya jadi tidak berdaya untuk membayar klaim atau GAGAL BAYAR!!! #BubarkanPDIP.",['Kresna Life'],https://twitter.com/USUTPEMBUNUHAN1,https://twitter.com › USUTPEMBUNUHAN1,
59,WWO121 (@WWO12110) / X,"Mulai dari AJB Bumiputera, Jiwasraya, Asabri, hingga Kresna Life itu tidak lepas dari pengawasan OJK yang sangat lemah. Terlebih lagi adanya regulatory and ...",['Kresna Life'],https://twitter.com/WWO12110,https://twitter.com › WWO12110,
60,mawar7rasa - Say Myname,"Say Myname · @mawar7rasa. ·. Sep 29, 2022. haduh. Kasasi Kabul, LQ Indonesia: Ribuan Nasabah Asuransi Kresna Life Hanya akan Dapat Tulang Belulang · From ...",['Kresna Life'],https://twitter.com/mawar7rasa,https://twitter.com › ...,
61,irvan rahardjo,WEBINAR & Peluncuran Buku ROBOHNYA ASURANSI KAMI Pemailitan Kresna Life Penulis Irvan Rahardjo Kata Pengantar Prof.,['Kresna Life'],https://twitter.com/irvanrahardjo/status/1430724151107411969,https://twitter.com › irvanrahardjo › status,
62,Subur Jaya Abadi Permai (@PermaiSubur) ...,"Subur Jaya Abadi Permai reposted · Indonesia Raya · @Indones20366386. ·. Nov 4, 2022 · OJK Beri Sanksi buat WanaArtha dan Kresna Life! From finance.detik.com. 1.",['Kresna Life'],https://twitter.com/PermaiSubur,https://twitter.com › PermaiSubur,
63,Kresna Life Insurance,Kresna Life Insurance · @KresnaLifeID. Selamat mengawali langkah untuk membawa Indonesia lebih maju Bpk. @jokowi. dan Bpk. @kyai_marufamin.,['Kresna Life'],https://twitter.com/KresnaLifeID/status/1186221719482032128,https://twitter.com › KresnaLifeID › status,
64,Indolife Bumi Asih Jaya Taspen Jiwasraya OJK,"·. Feb 24, 2021. Gagal bayar ksp Lima Garuda. Image. 1. Indolife Bumi Asih Jaya Taspen Jiwasraya OJK · @pasarbursa. ·. Feb 24, 2021. Kresna life gagal bayar.",['Kresna life'],https://twitter.com/pasarbursa,https://twitter.com › pasarbursa,
65,Say Myname,"Kasasi Kabul, LQ Indonesia: Ribuan Nasabah Asuransi Kresna Life Hanya akan Dapat Tulang Belulang. From netralnews.com.",['Kresna Life'],https://twitter.com/mawar7rasa/status/1575349277471440896,https://twitter.com › status,
66,Suara Otoritas (@suaraojk) / X,"@suaraojk. ·. Nov 11, 2020. Setelah gagal di Jiwasraya, Minna Padi, Kresna Life, jangan berlanjut pada pemulihan ekonomi nasional! #ReformasiOJK. Image.",['Kresna Life'],https://twitter.com/suaraojk,https://twitter.com › suaraojk,
67,Lucky Santoso (@luqsantoso) / X,"3. 60. 692. Lucky Santoso · @luqsantoso. ·. Apr 1, 2022 · Nasabah Resah Pembayaran Tersendat, OJK Minta Kresna Life Segera Tambah Modal · From finansial.bisnis.",['Kresna Life'],https://twitter.com/luqsantoso,https://twitter.com › luqsantoso,
