position,title,snippet,highlighs,link,displayed_link,sitelinks
70,Polaris,WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https://finansial.bisnis.com/read/20230101/215/1613833/wanaartha-life-jadwalkan ...,"['WanaArtha Life', 'wanaartha-life']",https://twitter.com/polaroidblur77/status/1609602593952792577,https://twitter.com › polaroidblur77 › status,
71,Mutie Septianingsih,"""Silaturahim.."" WanaArtha Life terima kasih Pak nasihatnya, berkah kita semua @haikal_hassan @haikalbaras.",['WanaArtha Life'],https://twitter.com/MutieHaryanto/status/758601934320246785,https://twitter.com › MutieHaryanto › status,
72,vitrieFebry - ipit,"☺ · @vitriefebry. ·. Jul 20, 2016. Rabu kelabu. Tapi dapet cemilan sebanyak ini. Gajadi kelabu   (at Wanaartha Life Pondok Kelapa) [pic] — https://path.com/p/ ...",['Wanaartha Life'],https://twitter.com/vitriefebry,https://twitter.com › vitriefebry,
73,168,"... -tunggal-ojk-ratusan-nasabah-wanaartha-life-kawal-yudisial-review-uu-ppsk-di-mk/… Translate post. 12:16 AM · Jul 26, 2023. ·. 168. Views. 1. Repost.",['wanaartha-life'],https://twitter.com/machrilmachril1/status/1683994762419003392,https://twitter.com › machrilmachril1 › status,
74,buyung86779669 - dody,PT Asuransi Jiwa Adisarana Wanaartha atau WanaArtha Life meluncurkan WanaArtha DPLK (Dana Pensiun Lembaga Keuangan).,['WanaArtha Life'],https://twitter.com/buyung86779669,https://twitter.com › buyung86779669,
75,"Lyn on X: ""Nasabah butuh duitt...."" / X",Nasabah Gagal Bayar WanaArtha Life Minta Direksi Baru Percepat Penyehatan Keuangan ...,['WanaArtha Life'],https://twitter.com/Lolypop502/status/1531950958972129280,https://twitter.com › Lolypop502 › status,
76,Hendri Kong,... ! @jokowi kembalikan uang kami @KejaksaanRI @ojkindonesia @PNjktpusat atau karma yang akan membalas derita 26ribu nasabah WanaArtha Life!,['WanaArtha Life'],https://twitter.com/hendrisamuel/status/1338870021930450944,https://twitter.com › hendrisamuel › status,
77,h3nd4r - Hendar Tusmin,... Bayar 2%. Nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/WAL) buka suara soal hasil neraca sementara likuidasi (NSL) Wanaartha. 1. 2.,['Wanaartha Life'],https://twitter.com/h3nd4r,https://twitter.com › ...,
78,Teenu C Jiriadana (@teenuchandra) ...,"Teenu C Jiriadana's posts ... Terima kasih kepada Pak Yanes Y. Matulatuwa (President Director WanaArtha Life), Ibu Mitzi Ranti, Ibu Ellusi, dan Ibu Yenny.",['WanaArtha Life'],https://twitter.com/teenuchandra,https://twitter.com › teenuchandra,
79,Darma_9 - Darmawit Saputra,Otoritas Jasa Keuangan (OJK) mencabut izin usaha usaha PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL) efektif per Senin (5/12).,['Wanaartha Life'],https://twitter.com/Darma_9,https://twitter.com › Darma_9,
80,Alex Stefanus,"@jokowi · #LibatkanNasabahDlmTimLikuidasiWanaarthaLife. Translate post. Peserta Wanaartha Life Tercatat 100 Ribu, OJK: Tim Likuidasi Akan ...",['Wanaartha Life'],https://twitter.com/alexstefanus/status/1601085057812549635,https://twitter.com › alexstefanus › status,
81,Dr.Basroni Kiran.SH.MH,Otoritas Jasa Keuangan (OJK) mengungkap rusaknya laporan keuangan dari Wanaartha Life. Ada penggelapan polis hingga Rp12 triliun! Edan! Wanaartha Life ...,"['Wanaartha Life', 'Wanaartha Life']",https://twitter.com/basronikiran,https://twitter.com › basronikiran,
82,limsoeyantho,"@limsoeyantho. ·. Apr 19, 2020 · http://theiconomics.com/art-of-execution/wanaartha-life-akan-tempuh-langkah-hukum-untuk-buka-pemblokiran-rekening/… Quote.",['wanaartha-life'],https://twitter.com/limsoeyantho,https://twitter.com › limsoeyantho,
83,Alex Stefanus,"21/01/22 genap 2 thn uang premi pemegang polis pd SRE Wanaartha Life (WAL) diblokir, disita & dirampas @KejaksaanRI. 11/01/22 genap 3 bln ...",['Wanaartha Life'],https://twitter.com/alexstefanus/status/1477998214355718144,https://twitter.com › alexstefanus › status,
84,Mutie Septianingsih (@MutieHaryanto) / X,"... @MutieHaryanto. ·. Jul 28, 2016. ""Silaturahim.."" WanaArtha Life terima kasih Pak nasihatnya, berkah kita semua. @haikal_hassan. @haikalbaras. Image.",['WanaArtha Life'],https://twitter.com/MutieHaryanto,https://twitter.com › MutieHaryanto,
85,fhr,"dmz_ers @hrdbacot Seru nih, org indo ada 11 orang, 3 orang kasus asuransi wanaartha life. Btw Harun Masiku udah ga ada di list red notice.",['wanaartha life'],https://twitter.com/nukanikufesin/status/1607403899232858112,https://twitter.com › nukanikufesin › status,
86,Teenu C Jiriadana,"Terima kasih kepada Pak Yanes Y. Matulatuwa (President Director WanaArtha Life), Ibu Mitzi Ranti, Ibu Ellusi, dan Ibu Yenny.",['WanaArtha Life'],https://twitter.com/teenuchandra/status/911475770274361346,https://twitter.com › teenuchandra › status,
87,jonlik0406 - Johan Likamto,"@jonlik0406. ·. Feb 2, 2014. I'm devastated to this condition. Johan Likamto · @jonlik0406. ·. Jan 27, 2014. wanaartha life,walinvest solusi terbaik untuk ...",['wanaartha life'],https://twitter.com/jonlik0406,https://twitter.com › jonlik0406,
88,Kiki Saragih (@kiki_saragih) / X,"Total kewajiban yang harus dibayarkan WanaArtha Life kepada para pemegang polis menyentuh Rp15,7 triliun. Namun, aset perusahaan yang dimiliki tak sampai ...",['WanaArtha Life'],https://twitter.com/kiki_saragih,https://twitter.com › kiki_saragih,
89,Indonesia Raya,"Usut Aliran Dana Wanaartha Life, Nasabah Tunjuk Auditor - Iconomics. From theiconomics.com · 3:49 PM · Jun 16, 2022.",['Wanaartha Life'],https://twitter.com/Indones20366386/status/1537462466208473088,https://twitter.com › Indones20366386 › status,
90,nniiiaasssss - nias damayanti,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/3K2QqYZCaV lewat @ChangeOrg_ID.,['WanaArtha Life'],https://twitter.com/nniiiaasssss,https://twitter.com › nniiiaasssss,
91,agustina yang (@agustina_yang) ...,agustina yang's posts ... ⁩ Pak Jokowi : tolong luangkan sedikit waktu buat korban investasi wanaartha life. Owner'nya sudah kabur ke Amrik. Pihak OJK tidak bisa ...,['wanaartha life'],https://twitter.com/agustina_yang,https://twitter.com › agustina_yang,
92,TheCropJajang,"Sidang Vonis Jiwasraya Ditutup, Nasabah WanaArtha Life Bikin Kericuhan : Okezone Nasional. Sejumlah nasabah WanaArtha Life protes lantaran ...","['WanaArtha Life', 'WanaArtha Life']",https://twitter.com/ChopShopkc1/status/1326812604686245888,https://twitter.com › ChopShopkc1 › status,
93,卓俐妍,dan ojk yang saya rasa sdh nilep uang ini. Translate post. money.kompas.com. Nasabah Gagal Bayar Wanaartha Life: Kami Jangan Dibawa Muter- ...,['Wanaartha Life'],https://twitter.com/YeniChubi/status/1532717758219051008,https://twitter.com › YeniChubi › status,
94,"""Kami ada dosa apa pak tolong bukakan pintu hati sesuai ...",(Video bag 1) PN Jakpus 3/6/2021: Semua pakar hukum & saksi ahli bilang penyitaan aset nsbh Wanaartha Life oleh @KejaksaanRI adlh cacat ...,['Wanaartha Life'],https://twitter.com/polaroidblur77/status/1403058656220954628,https://twitter.com › polaroidblur77 › status,
95,Christine Jahja (@c_jahja) / X,"Christine Jahja · @c_jahja. ·. Jun 14, 2020 · http://Kompas.com https://investor.id/finance/nasabah-wanaartha-life-mengharapkan-rekening-yang-disita- ...",['wanaartha-life'],https://twitter.com/c_jahja,https://twitter.com › c_jahja,
96,Yohan Yo,"... nasabah Wanaartha Life hanya sebesar 5% dari tagihan. Sementara gagal bayar sudah hampir genap 4 tahun. - Halaman 2. View. 7:06 AM · Dec 15, 2023. ·. 29.",['Wanaartha Life'],https://twitter.com/YohanYo64596277/status/1735556825175769175,https://twitter.com › YohanYo64596277 › status,
97,TheCropJajang,"... Piter Rasiman. Translate post. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi WanaArtha Life. From m.bisnis.com · 10:20 AM · Nov 12, 2020.",['WanaArtha Life'],https://twitter.com/ChopShopkc1/status/1326832160087531525,https://twitter.com › ChopShopkc1 › status,
98,Triple Double (@lor1nser) / X,"@lor1nser. ·. Mar 5, 2020. OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! http://chng.it/qvh8pxst via. @ChangeOrg_ID. 1.",['WanaArtha Life'],https://twitter.com/lor1nser,https://twitter.com › ...,
